"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH","AWVHT","MWVHT","WVHT","APD"
"02/11/2019","00:00","22.8","245","26.7","14.8","N/A","989.0","3.85","0.70","0.70","0.63","6.92"
"02/11/2019","00:05","24.2","239","27.3","14.8","N/A","988.8","3.90","0.59","0.59","0.63","6.92"
"02/11/2019","00:10","23.5","238","24.8","14.4","N/A","989.1","3.95","0.75","0.88","0.63","6.92"
"02/11/2019","00:15","25.7","238","28.0","14.5","N/A","989.1","4.02","0.66","0.66","0.63","5.95"
"02/11/2019","00:20","26.4","242","28.8","14.7","N/A","989.0","4.07","0.64","0.64","0.63","5.95"
"02/11/2019","00:25","26.0","242","28.1","14.7","N/A","988.8","4.15","0.69","0.70","0.63","5.95"
"02/11/2019","00:30","25.3","240","27.9","14.8","N/A","988.7","4.20","0.58","0.81","0.63","7.76"
"02/11/2019","00:35","27.1","238","30.6","14.8","N/A","989.0","4.30","0.87","0.87","0.63","7.76"
"02/11/2019","00:40","25.6","235","28.8","14.8","N/A","989.0","4.36","0.52","0.65","0.63","7.76"
"02/11/2019","00:45","29.0","235","32.6","14.0","N/A","988.8","4.40","0.76","0.76","0.66","6.57"
"02/11/2019","00:50","33.0","249","37.5","13.8","N/A","988.8","4.47","0.91","0.91","0.66","6.57"
"02/11/2019","00:55","31.0","253","35.2","14.1","N/A","989.0","4.52","0.75","0.79","0.66","6.57"
"02/11/2019","01:00","27.0","249","28.9","14.2","N/A","988.7","4.58","0.87","0.87","0.71","7.32"
"02/11/2019","01:05","28.8","249","35.7","14.3","N/A","988.8","4.62","0.76","0.84","0.71","7.32"
"02/11/2019","01:10","27.7","249","32.3","14.3","N/A","988.7","4.68","0.77","0.86","0.71","7.32"
"02/11/2019","01:15","27.9","245","32.8","14.4","N/A","988.7","4.74","0.84","0.85","0.70","7.76"
"02/11/2019","01:20","26.4","243","31.1","14.3","N/A","988.8","4.76","0.98","0.99","0.70","7.76"
"02/11/2019","01:25","23.9","243","26.3","14.3","N/A","988.8","4.81","0.72","0.88","0.70","7.76"
"02/11/2019","01:30","23.6","241","26.6","14.3","N/A","988.7","4.83","1.01","1.01","0.74","8.83"
"02/11/2019","01:35","22.9","243","27.6","14.4","N/A","988.8","4.89","0.44","0.83","0.74","8.83"
"02/11/2019","01:40","26.9","247","30.3","14.4","N/A","988.7","4.93","0.71","0.79","0.74","8.83"
"02/11/2019","01:45","23.8","243","27.0","14.4","N/A","988.7","4.94","1.11","1.12","0.71","9.48"
"02/11/2019","01:50","25.2","244","27.9","14.4","N/A","988.8","4.98","0.70","0.71","0.71","9.48"
"02/11/2019","01:55","25.0","241","27.7","14.4","N/A","988.8","4.98","0.88","0.99","0.71","9.48"
"02/11/2019","02:00","23.5","248","26.6","14.3","N/A","988.8","5.00","1.14","1.14","0.81","8.83"
"02/11/2019","02:05","23.0","245","26.4","14.3","N/A","988.7","5.00","0.70","1.02","0.81","8.83"
"02/11/2019","02:10","23.3","237","26.1","14.3","N/A","988.7","4.99","0.62","0.76","0.81","8.83"
"02/11/2019","02:15","23.8","236","26.8","14.3","N/A","988.7","5.01","0.74","0.74","0.73","12.19"
"02/11/2019","02:20","27.8","239","32.3","14.3","N/A","988.5","5.00","1.03","1.04","0.73","12.19"
"02/11/2019","02:25","26.6","247","29.7","14.4","N/A","988.3","5.00","0.73","0.77","0.73","12.19"
"02/11/2019","02:30","24.3","247","25.7","14.4","N/A","988.3","4.97","0.68","0.68","0.79","7.76"
"02/11/2019","02:35","20.5","240","24.0","14.3","N/A","988.3","4.97","0.85","0.85","0.79","7.76"
"02/11/2019","02:40","26.1","243","28.9","14.3","N/A","988.0","4.93","0.94","0.94","0.79","7.76"
"02/11/2019","02:45","24.9","238","27.7","14.3","N/A","988.3","4.91","1.21","1.21","0.85","9.48"
"02/11/2019","02:50","21.5","248","23.9","14.3","N/A","988.3","4.89","0.91","1.14","0.85","9.48"
"02/11/2019","02:55","24.7","252","28.4","13.6","N/A","988.5","4.87","0.79","0.99","0.85","9.48"
"02/11/2019","03:00","27.8","243","30.5","13.5","N/A","988.5","4.84","0.86","1.11","0.83","8.26"
"02/11/2019","03:05","24.3","244","25.9","13.4","N/A","988.2","4.86","1.27","1.27","0.83","8.26"
"02/11/2019","03:10","21.9","250","26.0","13.6","N/A","988.3","4.82","1.26","1.26","0.83","8.26"
"02/11/2019","03:15","25.4","249","28.5","13.8","N/A","988.0","4.81","1.20","1.21","0.98","8.83"
"02/11/2019","03:20","24.5","243","27.7","13.8","N/A","988.2","4.80","1.20","1.20","0.98","8.83"
"02/11/2019","03:25","24.1","238","27.4","13.8","N/A","988.0","4.77","1.02","1.02","0.98","8.83"
"02/11/2019","03:30","27.1","243","31.1","13.8","N/A","987.5","4.74","1.23","1.23","1.00","9.48"
"02/11/2019","03:35","26.6","244","29.5","13.9","N/A","987.9","4.72","1.17","1.18","1.00","9.48"
"02/11/2019","03:40","23.1","241","26.2","13.8","N/A","987.9","4.72","1.22","1.22","1.00","9.48"
"02/11/2019","03:45","24.2","251","27.5","13.8","N/A","987.7","4.68","1.15","1.32","1.10","8.83"
"02/11/2019","03:50","27.0","247","30.4","13.7","N/A","987.7","4.69","1.17","1.18","1.10","8.83"
"02/11/2019","03:55","23.2","248","26.1","13.6","N/A","987.7","4.64","1.25","1.25","1.10","8.83"
"02/11/2019","04:00","24.6","245","27.5","13.6","N/A","987.7","4.53","1.22","1.22","1.01","7.76"
"02/11/2019","04:05","23.2","247","25.6","13.5","N/A","987.7","4.47","1.08","1.40","1.01","7.76"
"02/11/2019","04:10","19.0","245","21.8","13.4","N/A","987.5","4.46","1.07","1.29","1.01","7.76"
"02/11/2019","04:15","24.4","248","27.9","13.5","N/A","987.7","4.39","0.94","1.09","1.06","8.83"
"02/11/2019","04:20","25.8","242","31.4","13.6","N/A","987.2","4.31","1.43","1.44","1.06","8.83"
"02/11/2019","04:25","26.2","246","29.1","13.6","N/A","987.2","4.28","1.02","1.21","1.06","8.83"
"02/11/2019","04:30","24.9","242","28.6","13.6","N/A","987.2","4.20","1.35","1.36","1.13","9.48"
"02/11/2019","04:35","24.6","241","26.9","13.5","N/A","987.1","4.16","0.85","0.91","1.13","9.48"
"02/11/2019","04:40","24.0","241","26.0","13.4","N/A","986.9","4.08","1.11","1.11","1.13","9.48"
"02/11/2019","04:45","27.0","237","29.7","13.5","N/A","986.9","3.97","1.20","1.24","1.18","10.24"
"02/11/2019","04:50","27.1","234","30.4","13.6","N/A","986.9","3.90","1.13","1.22","1.18","10.24"
"02/11/2019","04:55","30.9","233","34.2","13.7","N/A","986.9","3.80","1.41","1.41","1.18","10.24"
"02/11/2019","05:00","26.5","243","31.5","13.6","N/A","987.2","3.66","1.19","1.25","1.31","8.83"
"02/11/2019","05:05","32.0","245","34.2","13.5","N/A","987.2","3.56","1.14","1.14","1.31","8.83"
"02/11/2019","05:10","26.4","245","29.5","13.4","N/A","986.9","3.48","1.77","1.78","1.31","8.83"
"02/11/2019","05:15","26.0","245","28.3","13.3","N/A","987.1","3.30","1.85","1.85","1.50","9.48"
"02/11/2019","05:20","24.5","237","30.6","13.3","N/A","986.8","3.26","1.45","1.45","1.50","9.48"
"02/11/2019","05:25","28.6","237","33.7","13.4","N/A","986.3","3.20","1.47","1.53","1.50","9.48"
"02/11/2019","05:30","25.6","232","29.6","13.3","N/A","986.6","3.15","1.61","1.61","1.49","9.48"
"02/11/2019","05:35","24.4","235","27.6","13.4","N/A","986.6","3.10","1.07","1.08","1.49","9.48"
"02/11/2019","05:40","25.3","237","27.6","13.4","N/A","986.5","2.99","1.47","1.47","1.49","9.48"
"02/11/2019","05:45","25.2","233","28.7","13.4","N/A","986.6","2.91","1.67","1.68","1.36","9.48"
"02/11/2019","05:50","22.2","237","24.8","13.3","N/A","986.6","2.85","1.95","1.97","1.36","9.48"
"02/11/2019","05:55","26.8","238","32.8","13.4","N/A","986.5","2.71","1.19","1.61","1.36","9.48"
"02/11/2019","06:00","24.7","233","29.3","13.4","N/A","986.3","2.66","1.60","1.60","1.47","8.26"
