"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH","AWVHT","MWVHT","WVHT","APD"
"05/11/2019","00:00","03.7","093","04.0","12.1","N/A","987.3","2.61","1.15","1.15","1.10","15.06"
"05/11/2019","00:05","04.0","078","04.3","12.2","N/A","987.3","2.64","0.79","1.00","1.10","15.06"
"05/11/2019","00:10","03.8","072","04.3","12.1","N/A","987.5","2.62","1.24","1.24","1.10","15.06"
"05/11/2019","00:15","05.2","043","05.9","11.7","N/A","987.3","2.67","1.12","1.32","1.10","15.06"
"05/11/2019","00:20","08.4","027","09.0","10.7","N/A","987.5","2.67","0.91","1.21","1.10","15.06"
"05/11/2019","00:25","08.9","034","09.7","10.4","N/A","987.5","2.69","1.16","1.16","1.10","15.06"
"05/11/2019","00:30","09.3","045","09.9","10.2","N/A","987.6","2.71","1.04","1.17","1.13","13.48"
"05/11/2019","00:35","08.7","043","09.7","10.2","N/A","987.6","2.76","1.38","1.39","1.13","13.48"
"05/11/2019","00:40","08.5","043","09.4","10.3","N/A","987.8","2.75","1.36","1.36","1.13","13.48"
"05/11/2019","00:45","08.9","049","09.6","10.2","N/A","987.6","2.77","0.79","1.17","1.05","13.48"
"05/11/2019","00:50","09.1","055","10.1","10.2","N/A","988.0","2.83","1.31","1.32","1.05","13.48"
"05/11/2019","00:55","09.5","053","10.3","10.1","N/A","988.0","2.84","1.18","1.18","1.05","13.48"
"05/11/2019","01:00","09.9","047","10.9","10.1","N/A","987.8","2.84","0.97","1.09","1.08","13.48"
"05/11/2019","01:05","09.2","054","10.0","10.2","N/A","988.0","2.86","0.99","1.20","1.08","13.48"
"05/11/2019","01:10","10.0","056","10.8","10.2","N/A","988.2","2.88","1.30","1.30","1.08","13.48"
"05/11/2019","01:15","09.2","051","10.0","10.3","N/A","988.0","2.92","1.21","1.21","1.05","13.48"
"05/11/2019","01:20","09.8","048","10.9","10.3","N/A","988.0","2.94","1.25","1.25","1.05","13.48"
"05/11/2019","01:25","10.8","043","11.7","10.0","N/A","988.0","2.99","1.07","1.07","1.05","13.48"
"05/11/2019","01:30","11.6","040","12.3","09.8","N/A","988.2","3.01","1.16","1.17","1.02","12.19"
"05/11/2019","01:35","11.9","036","12.6","09.7","N/A","988.0","3.03","0.94","1.16","1.02","12.19"
"05/11/2019","01:40","11.4","040","13.3","09.8","N/A","988.2","3.14","1.14","1.14","1.02","12.19"
"05/11/2019","01:45","11.6","038","13.1","09.8","N/A","988.3","3.15","1.00","1.02","1.03","15.06"
"05/11/2019","01:50","10.9","043","11.7","09.8","N/A","988.5","3.19","1.04","1.04","1.03","15.06"
"05/11/2019","01:55","11.1","043","12.0","09.7","N/A","988.5","3.19","0.69","1.07","1.03","15.06"
"05/11/2019","02:00","10.8","042","12.1","09.7","N/A","988.3","3.22","1.10","1.17","0.97","15.06"
"05/11/2019","02:05","11.4","037","13.4","09.6","N/A","988.3","3.28","1.05","1.10","0.97","15.06"
"05/11/2019","02:10","11.2","038","12.4","09.8","N/A","988.5","3.30","1.06","1.06","0.97","15.06"
"05/11/2019","02:15","10.8","042","11.9","09.8","N/A","988.7","3.34","1.13","1.13","1.02","15.06"
"05/11/2019","02:20","10.5","046","11.3","09.9","N/A","988.5","3.41","1.17","1.18","1.02","15.06"
"05/11/2019","02:25","10.4","051","11.2","09.9","N/A","988.5","3.46","0.98","1.05","1.02","15.06"
"05/11/2019","02:30","09.6","047","10.9","10.0","N/A","988.5","3.44","1.02","1.21","1.00","15.06"
"05/11/2019","02:35","09.0","047","10.2","10.1","N/A","988.7","3.51","0.92","1.14","1.00","15.06"
"05/11/2019","02:40","10.3","042","11.4","10.0","N/A","988.7","3.51","1.32","1.33","1.00","15.06"
"05/11/2019","02:45","10.4","043","11.4","10.0","N/A","989.0","3.56","0.86","0.95","0.99","15.06"
"05/11/2019","02:50","10.9","040","12.1","10.0","N/A","989.2","3.60","1.13","1.13","0.99","15.06"
"05/11/2019","02:55","12.7","033","13.3","09.9","N/A","989.0","3.64","1.35","1.35","0.99","15.06"
"05/11/2019","03:00","11.8","041","13.3","10.0","N/A","989.2","3.68","0.91","0.95","1.11","15.06"
"05/11/2019","03:05","12.4","040","13.1","09.8","N/A","989.4","3.73","0.90","0.90","1.11","15.06"
"05/11/2019","03:10","11.6","034","12.5","09.8","N/A","989.4","3.75","1.02","1.02","1.11","15.06"
"05/11/2019","03:15","12.1","037","13.0","09.8","N/A","989.4","3.76","1.07","1.19","1.09","13.48"
"05/11/2019","03:20","13.2","036","14.3","09.6","N/A","989.7","3.82","1.18","1.31","1.09","13.48"
"05/11/2019","03:25","13.2","039","14.7","09.5","N/A","989.7","3.82","1.27","1.28","1.09","13.48"
"05/11/2019","03:30","10.9","048","11.9","09.5","N/A","989.8","3.84","1.00","1.14","1.06","15.06"
"05/11/2019","03:35","10.7","048","12.1","09.5","N/A","989.9","3.93","0.89","1.12","1.06","15.06"
"05/11/2019","03:40","09.9","049","11.1","09.6","N/A","990.0","3.87","1.16","1.16","1.06","15.06"
"05/11/2019","03:45","11.4","047","12.4","09.4","N/A","989.9","3.96","0.93","1.04","1.07","13.48"
"05/11/2019","03:50","10.4","048","11.4","09.4","N/A","989.9","3.98","0.99","0.99","1.07","13.48"
"05/11/2019","03:55","11.0","040","12.5","09.4","N/A","989.9","4.04","1.06","1.06","1.07","13.48"
"05/11/2019","04:00","12.0","036","13.7","09.4","N/A","990.0","4.08","0.93","0.93","1.03","13.48"
"05/11/2019","04:05","12.2","035","13.9","09.4","N/A","990.2","4.03","0.77","0.79","1.03","13.48"
"05/11/2019","04:10","13.7","035","14.7","09.5","N/A","990.0","4.08","0.93","1.01","1.03","13.48"
"05/11/2019","04:15","13.5","036","15.1","09.5","N/A","990.0","4.10","0.98","0.98","1.00","11.13"
"05/11/2019","04:20","14.4","035","15.7","09.5","N/A","990.2","4.11","1.09","1.09","1.00","11.13"
"05/11/2019","04:25","14.1","033","15.4","09.5","N/A","990.2","4.12","1.04","1.25","1.00","11.13"
"05/11/2019","04:30","13.6","037","14.6","09.6","N/A","990.3","4.14","1.21","1.21","1.02","15.06"
"05/11/2019","04:35","16.2","032","17.9","09.5","N/A","990.3","4.17","0.89","0.98","1.02","15.06"
