"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH","AWVHT","MWVHT","WVHT","APD"
"07/11/2019","21:40","11.7","205","13.1","09.9","N/A","997.4","3.77","0.71","0.77","0.65","13.48"
"07/11/2019","21:45","12.0","203","13.3","09.8","N/A","997.4","3.76","0.64","0.67","0.67","13.48"
"07/11/2019","21:50","11.0","210","12.8","10.1","N/A","997.6","3.71","0.58","0.76","0.67","13.48"
"07/11/2019","21:55","12.9","218","14.1","10.1","N/A","997.7","3.68","0.80","0.80","0.67","13.48"
"07/11/2019","22:00","11.4","200","13.1","10.1","N/A","997.6","3.65","0.75","0.75","0.68","13.48"
"07/11/2019","22:05","10.8","224","12.4","10.2","N/A","997.4","3.61","0.58","0.90","0.68","13.48"
"07/11/2019","22:10","12.6","263","15.4","09.9","N/A","997.6","3.58","0.72","0.73","0.68","13.48"
"07/11/2019","22:15","12.5","265","13.3","09.4","N/A","997.6","3.55","0.79","0.79","0.66","13.48"
"07/11/2019","22:20","09.9","269","10.8","09.2","N/A","997.6","3.51","0.83","0.83","0.66","13.48"
"07/11/2019","22:25","09.1","272","10.0","09.2","N/A","997.7","3.45","0.89","0.91","0.66","13.48"
"07/11/2019","22:30","08.9","267","10.4","09.4","N/A","997.7","3.40","0.94","0.94","0.72","13.48"
"07/11/2019","22:35","10.0","262","10.6","09.4","N/A","997.7","3.37","0.66","0.66","0.72","13.48"
"07/11/2019","22:40","10.7","269","11.7","09.4","N/A","998.1","3.32","0.79","0.82","0.72","13.48"
"07/11/2019","22:45","10.8","274","11.5","09.3","N/A","997.9","3.26","0.56","0.77","0.67","15.06"
"07/11/2019","22:50","09.8","276","10.9","09.3","N/A","998.1","3.19","0.60","0.62","0.67","15.06"
"07/11/2019","22:55","08.1","274","09.3","09.3","N/A","998.1","3.14","0.58","0.79","0.67","15.06"
"07/11/2019","23:00","07.8","279","08.3","09.3","N/A","998.1","3.10","0.62","0.62","0.64","8.83"
"07/11/2019","23:05","08.1","273","09.0","09.3","N/A","998.1","3.04","0.80","0.81","0.64","8.83"
"07/11/2019","23:10","07.7","277","08.8","09.4","N/A","998.2","2.96","0.72","0.72","0.64","8.83"
"07/11/2019","23:15","07.9","290","08.6","09.5","N/A","998.1","2.93","0.58","0.87","0.61","15.06"
"07/11/2019","23:20","07.6","285","08.1","09.5","N/A","998.1","2.87","0.55","0.69","0.61","15.06"
"07/11/2019","23:25","06.1","279","06.6","09.6","N/A","998.1","2.83","0.72","0.72","0.61","15.06"
"07/11/2019","23:30","06.5","281","07.2","09.6","N/A","998.2","2.79","0.53","0.61","0.60","10.24"
"07/11/2019","23:35","05.7","279","06.2","09.7","N/A","998.2","2.72","0.56","0.77","0.60","10.24"
"07/11/2019","23:40","05.2","280","05.9","09.8","N/A","998.5","2.68","0.58","0.58","0.60","10.24"
"07/11/2019","23:45","04.9","285","06.0","09.8","N/A","998.4","2.62","0.57","0.64","0.60","11.13"
"07/11/2019","19:30","14.8","211","15.7","10.5","N/A","996.5","4.06","0.76","0.76","0.60","7.32"
"07/11/2019","19:35","16.5","230","18.9","09.9","N/A","996.5","4.10","0.68","0.68","0.60","7.32"
"07/11/2019","19:40","15.9","210","18.4","09.8","N/A","996.5","4.09","0.59","0.78","0.60","7.32"
"07/11/2019","19:45","09.4","190","11.3","10.0","N/A","996.5","4.10","0.74","0.75","0.56","12.19"
"07/11/2019","19:50","10.4","203","12.3","10.1","N/A","996.6","4.09","0.64","0.64","0.56","12.19"
"07/11/2019","19:55","10.6","206","12.0","10.5","N/A","996.6","4.09","0.59","0.65","0.56","12.19"
"07/11/2019","20:00","08.2","202","09.2","10.5","N/A","996.8","4.09","0.52","0.69","0.56","8.83"
"07/11/2019","20:05","09.7","199","10.3","10.4","N/A","996.8","4.10","0.55","0.74","0.56","8.83"
"07/11/2019","20:10","08.2","210","08.8","10.4","N/A","996.6","4.08","0.50","0.53","0.56","8.83"
"07/11/2019","20:15","09.5","217","10.9","10.4","N/A","996.8","4.08","0.59","0.65","0.59","6.92"
"07/11/2019","20:20","13.1","206","14.9","10.5","N/A","996.8","4.10","0.56","0.60","0.59","6.92"
"07/11/2019","20:25","16.2","198","17.5","10.2","N/A","996.6","4.05","0.63","0.66","0.59","6.92"
"07/11/2019","20:30","15.7","203","17.3","10.2","N/A","996.6","4.05","0.62","0.78","0.61","13.48"
