"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH","AWVHT","MWVHT","WVHT","APD"
"04/11/2019","00:00","10.7","208","11.6","11.9","N/A","984.4","2.63","0.76","0.90","0.80","15.06"
"04/11/2019","00:05","11.5","221","13.8","11.8","N/A","984.2","2.67","0.81","0.81","0.80","15.06"
"04/11/2019","00:10","08.9","220","09.8","11.7","N/A","984.4","2.70","1.03","1.03","0.80","15.06"
"04/11/2019","00:15","07.6","230","08.3","11.7","N/A","984.4","2.75","0.71","0.71","0.78","8.83"
"04/11/2019","00:20","07.1","224","07.9","11.9","N/A","984.2","2.76","0.83","0.90","0.78","8.83"
"04/11/2019","00:25","07.1","221","07.9","11.7","N/A","984.2","2.82","0.88","1.13","0.78","8.83"
"04/11/2019","00:30","06.0","212","06.5","11.7","N/A","984.1","2.86","0.71","1.03","0.81","12.19"
"04/11/2019","00:35","04.7","187","05.0","11.6","N/A","984.1","2.92","0.86","0.86","0.81","12.19"
"04/11/2019","00:40","03.3","180","03.7","11.6","N/A","983.9","2.96","0.56","0.89","0.81","12.19"
"04/11/2019","00:45","04.5","180","05.4","11.5","N/A","983.8","3.00","0.71","0.72","0.78","12.19"
"04/11/2019","00:50","04.3","161","04.8","11.5","N/A","983.6","3.03","0.86","1.01","0.78","12.19"
"04/11/2019","00:55","04.3","156","04.6","11.5","N/A","983.6","3.13","0.89","0.89","0.78","12.19"
"04/11/2019","01:00","04.2","159","04.6","11.6","N/A","983.6","3.18","0.88","0.88","0.90","13.48"
"04/11/2019","01:05","04.4","147","04.8","11.7","N/A","983.6","3.23","0.93","0.93","0.90","13.48"
"04/11/2019","01:10","04.6","153","04.9","11.7","N/A","983.6","3.27","0.79","0.84","0.90","13.48"
"04/11/2019","01:15","05.4","153","06.1","11.7","N/A","983.4","3.30","0.75","0.89","0.85","13.48"
"04/11/2019","01:20","04.9","157","05.6","11.5","N/A","983.6","3.37","0.98","0.98","0.85","13.48"
"04/11/2019","01:25","04.6","180","05.2","11.5","N/A","983.6","3.44","0.57","0.92","0.85","13.48"
"04/11/2019","01:30","03.8","192","05.2","11.6","N/A","983.4","3.48","0.80","1.10","0.86","11.13"
"04/11/2019","01:35","01.5","142","04.1","11.6","N/A","983.4","3.53","0.70","0.81","0.86","11.13"
"04/11/2019","01:40","11.5","224","13.8","12.2","N/A","983.3","3.54","1.18","1.19","0.86","11.13"
"04/11/2019","01:45","18.8","212","20.6","12.6","N/A","983.0","3.61","1.03","1.04","0.85","12.19"
"04/11/2019","01:50","19.2","211","21.4","12.7","N/A","982.8","3.63","0.86","1.15","0.85","12.19"
"04/11/2019","01:55","16.5","219","18.0","13.0","N/A","983.0","3.65","0.75","1.02","0.85","12.19"
"04/11/2019","02:00","16.0","223","18.8","13.4","N/A","982.8","3.70","0.80","0.95","0.82","10.24"
"04/11/2019","02:05","19.8","228","21.4","13.4","N/A","982.5","3.73","0.96","0.96","0.82","10.24"
"04/11/2019","02:10","15.3","231","17.5","13.4","N/A","982.6","3.78","0.97","0.98","0.82","10.24"
"04/11/2019","02:15","16.3","230","18.0","13.3","N/A","982.6","3.83","0.82","1.12","0.90","13.48"
"04/11/2019","02:20","20.0","241","23.1","13.2","N/A","982.5","3.90","1.02","1.05","0.90","13.48"
"04/11/2019","02:25","22.4","243","26.1","13.1","N/A","982.5","3.93","0.89","0.89","0.90","13.48"
"04/11/2019","02:30","22.5","245","24.8","12.9","N/A","982.5","3.97","0.71","0.71","0.82","15.06"
"04/11/2019","02:35","26.0","252","28.0","12.8","N/A","982.5","3.99","1.02","1.45","0.82","15.06"
"04/11/2019","02:40","22.0","253","24.9","12.8","N/A","982.6","4.05","0.79","0.96","0.82","15.06"
"04/11/2019","02:45","24.6","257","27.6","12.6","N/A","982.8","4.07","0.94","0.94","0.91","12.19"
"04/11/2019","02:50","20.1","258","23.7","12.6","N/A","982.8","4.11","0.89","0.90","0.91","12.19"
"04/11/2019","02:55","21.3","262","23.0","12.5","N/A","982.8","4.14","1.02","1.02","0.91","12.19"
"04/11/2019","03:00","22.1","264","24.4","12.5","N/A","982.8","4.16","0.69","0.91","0.87","13.48"
"04/11/2019","03:05","21.5","263","24.7","12.5","N/A","982.8","4.16","1.02","1.32","0.87","13.48"
"04/11/2019","03:10","21.1","264","23.9","12.4","N/A","983.0","4.14","1.09","1.33","0.87","13.48"
"04/11/2019","03:15","19.9","258","21.0","12.4","N/A","983.0","4.25","1.29","1.29","0.96","15.06"
"04/11/2019","03:20","21.2","263","22.7","12.3","N/A","983.0","4.21","0.78","1.14","0.96","15.06"
"04/11/2019","03:25","22.7","262","24.1","12.2","N/A","983.0","4.25","0.74","0.90","0.96","15.06"
"04/11/2019","03:30","20.1","267","22.7","12.3","N/A","983.0","4.24","0.96","0.96","0.93","13.48"
"04/11/2019","03:35","20.1","271","22.2","12.2","N/A","983.1","4.24","1.05","1.05","0.93","13.48"
"04/11/2019","03:40","20.9","273","23.2","12.2","N/A","983.1","4.23","1.03","1.03","0.93","13.48"
"04/11/2019","03:45","20.4","274","22.1","12.2","N/A","983.3","4.25","1.11","1.11","0.88","13.48"
"04/11/2019","03:50","18.2","274","20.6","12.2","N/A","983.1","4.25","0.73","0.73","0.88","13.48"
"04/11/2019","03:55","20.7","271","21.9","12.1","N/A","983.4","4.25","0.94","0.94","0.88","13.48"
"04/11/2019","04:00","19.9","274","21.3","12.0","N/A","983.4","4.22","0.75","0.76","0.80","12.19"
"04/11/2019","04:05","16.4","271","18.6","12.0","N/A","983.3","4.24","1.13","1.14","0.80","12.19"
"04/11/2019","04:10","17.6","265","19.3","12.0","N/A","983.4","4.24","0.92","0.92","0.80","12.19"
"04/11/2019","04:15","17.1","269","18.8","11.9","N/A","983.3","4.22","0.93","0.96","0.90","15.06"
"04/11/2019","04:20","15.4","263","16.7","11.8","N/A","983.4","4.25","1.08","1.09","0.90","15.06"
"04/11/2019","04:25","14.5","265","17.0","11.8","N/A","983.4","4.23","1.03","1.03","0.90","15.06"
"04/11/2019","04:30","12.6","265","14.1","11.8","N/A","983.3","4.22","0.99","0.99","0.93","13.48"
"04/11/2019","04:35","12.6","269","13.8","11.8","N/A","983.3","4.25","0.89","1.00","0.93","13.48"
"04/11/2019","04:40","15.0","265","15.7","11.9","N/A","983.3","4.21","0.87","1.31","0.93","13.48"
"04/11/2019","04:45","13.1","262","15.1","11.9","N/A","983.3","4.20","0.75","0.92","0.91","15.06"
"04/11/2019","04:50","14.3","264","15.1","12.1","N/A","983.1","4.21","1.12","1.13","0.91","15.06"
"04/11/2019","04:55","13.3","271","14.0","12.1","N/A","983.4","4.19","1.01","1.21","0.91","15.06"
