"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH","AWVHT","MWVHT","WVHT","APD"
"03/11/2019","00:00","14.1","251","15.1","12.0","N/A","980.2","2.93","1.44","1.44","1.08","13.48"
"03/11/2019","00:05","14.8","253","16.5","12.1","N/A","980.1","3.02","0.97","0.97","1.08","13.48"
"03/11/2019","00:10","19.8","247","21.6","12.0","N/A","980.1","2.98","1.09","1.32","1.08","13.48"
"03/11/2019","00:15","18.7","229","20.6","11.7","N/A","980.1","3.08","1.01","1.01","1.15","13.48"
"03/11/2019","00:20","12.4","225","13.3","11.3","N/A","980.1","3.19","1.10","1.14","1.15","13.48"
"03/11/2019","00:25","10.7","230","11.9","11.5","N/A","980.1","3.28","0.97","1.02","1.15","13.48"
"03/11/2019","00:30","12.0","228","14.0","11.7","N/A","980.1","3.31","1.32","1.33","1.07","12.19"
"03/11/2019","00:35","14.1","234","15.4","11.7","N/A","980.1","3.35","1.01","1.11","1.07","12.19"
"03/11/2019","00:40","13.3","239","14.6","11.8","N/A","979.9","3.43","1.39","1.40","1.07","12.19"
"03/11/2019","00:45","12.9","231","14.6","11.9","N/A","980.1","3.50","1.24","1.24","1.11","15.06"
"03/11/2019","00:50","12.0","230","13.4","11.8","N/A","979.9","3.53","0.86","1.05","1.11","15.06"
"03/11/2019","00:55","11.0","230","12.9","11.8","N/A","980.1","3.65","0.79","1.26","1.11","15.06"
"03/11/2019","01:00","11.1","233","12.3","11.8","N/A","979.9","3.70","1.22","1.23","1.06","13.48"
"03/11/2019","01:05","10.4","230","11.2","11.7","N/A","979.9","3.73","1.00","1.16","1.06","13.48"
"03/11/2019","01:10","08.4","229","10.0","11.7","N/A","979.7","3.79","1.11","1.20","1.06","13.48"
"03/11/2019","01:15","08.2","238","10.0","11.6","N/A","979.9","3.83","0.97","1.13","1.04","12.19"
"03/11/2019","01:20","08.1","239","09.6","11.7","N/A","979.7","3.87","1.21","1.22","1.04","12.19"
"03/11/2019","01:25","09.5","239","10.1","11.8","N/A","979.7","3.91","1.30","1.30","1.04","12.19"
"03/11/2019","01:30","07.7","240","08.8","11.8","N/A","979.9","3.98","0.99","1.00","1.10","13.48"
"03/11/2019","01:35","08.4","237","09.0","11.8","N/A","979.7","4.04","1.15","1.16","1.10","13.48"
"03/11/2019","01:40","08.9","235","10.4","11.9","N/A","979.6","4.14","0.79","0.93","1.10","13.48"
"03/11/2019","01:45","08.8","242","09.9","11.9","N/A","979.7","4.12","1.37","1.37","1.10","13.48"
"03/11/2019","01:50","08.9","232","09.9","11.9","N/A","979.7","4.18","1.13","1.13","1.10","13.48"
"03/11/2019","01:55","10.6","244","12.2","11.9","N/A","979.9","4.21","1.27","1.28","1.10","13.48"
"03/11/2019","02:00","09.6","255","10.5","11.8","N/A","979.7","4.21","1.49","1.50","1.13","15.06"
"03/11/2019","02:05","08.7","263","09.5","11.7","N/A","979.9","4.27","0.83","1.38","1.13","15.06"
"03/11/2019","02:10","08.5","264","09.6","11.8","N/A","979.9","4.29","0.91","0.92","1.13","15.06"
"03/11/2019","02:15","08.2","276","09.7","11.7","N/A","979.9","4.31","1.08","1.27","1.01","13.48"
"03/11/2019","02:20","07.1","274","07.7","11.6","N/A","979.9","4.33","1.45","1.46","1.01","13.48"
"03/11/2019","02:25","06.1","285","06.9","11.6","N/A","979.7","4.34","1.49","1.49","1.01","13.48"
"03/11/2019","02:30","04.0","280","05.5","11.5","N/A","979.7","4.32","1.28","1.28","1.15","8.26"
"03/11/2019","02:35","04.9","299","05.4","11.5","N/A","979.6","4.33","0.80","1.38","1.15","8.26"
"03/11/2019","02:40","03.7","281","04.4","11.4","N/A","979.7","4.37","0.86","0.90","1.15","8.26"
"03/11/2019","02:45","04.2","240","04.7","11.4","N/A","979.6","4.37","0.68","1.34","1.03","17.07"
"03/11/2019","02:50","04.6","228","05.4","11.5","N/A","979.6","4.43","1.14","1.14","1.03","17.07"
"03/11/2019","02:55","04.8","228","05.3","11.5","N/A","979.6","4.39","1.29","1.29","1.03","17.07"
"03/11/2019","03:00","04.3","243","05.1","11.5","N/A","979.3","4.38","0.95","1.33","1.07","17.07"
"03/11/2019","03:05","03.9","238","04.6","11.5","N/A","979.4","4.41","1.27","1.27","1.07","17.07"
"03/11/2019","03:10","04.4","239","05.3","11.5","N/A","979.3","4.38","1.00","1.20","1.07","17.07"
"03/11/2019","03:15","04.1","249","04.6","11.5","N/A","979.4","4.42","1.17","1.17","1.08","15.06"
"03/11/2019","03:20","06.0","242","06.7","11.6","N/A","979.6","4.43","1.26","1.27","1.08","15.06"
"03/11/2019","03:25","05.6","254","06.4","11.7","N/A","979.5","4.38","1.12","1.13","1.08","15.06"
"03/11/2019","03:30","06.7","264","07.4","11.7","N/A","979.5","4.40","0.95","1.62","1.05","9.48"
"03/11/2019","03:35","07.4","278","08.0","11.6","N/A","979.5","4.39","1.00","1.33","1.05","9.48"
"03/11/2019","03:40","06.1","275","06.7","11.6","N/A","979.3","4.38","1.01","1.43","1.05","9.48"
"03/11/2019","03:45","05.8","278","06.5","11.6","N/A","979.5","4.36","0.98","1.46","1.01","8.83"
"03/11/2019","03:50","05.6","284","06.3","11.6","N/A","979.5","4.36","1.48","1.49","1.01","8.83"
"03/11/2019","03:55","05.1","275","05.6","11.6","N/A","979.7","4.34","0.87","1.06","1.01","8.83"
"03/11/2019","04:00","04.9","290","05.5","11.6","N/A","979.7","4.24","1.25","1.45","1.01","13.48"
"03/11/2019","04:05","03.9","274","04.5","11.6","N/A","979.8","4.31","1.41","1.41","1.01","13.48"
"03/11/2019","04:10","05.2","276","06.1","11.5","N/A","980.0","4.26","0.89","0.90","1.01","13.48"
"03/11/2019","04:15","04.5","278","04.9","11.5","N/A","980.0","4.29","0.83","1.17","1.02","8.83"
"03/11/2019","04:20","05.2","271","05.8","11.5","N/A","980.0","4.25","0.80","0.80","1.02","8.83"
"03/11/2019","04:25","04.4","269","05.0","11.5","N/A","980.0","4.20","1.24","1.56","1.02","8.83"
"03/11/2019","04:30","04.0","269","04.9","11.5","N/A","979.8","4.21","1.57","1.58","1.14","15.06"
"03/11/2019","04:35","05.7","276","06.3","11.5","N/A","980.0","4.16","0.67","1.23","1.14","15.06"
"03/11/2019","04:40","05.1","272","06.4","11.6","N/A","980.0","4.13","0.73","0.93","1.14","15.06"
"03/11/2019","04:45","05.4","276","06.0","11.5","N/A","980.0","4.06","1.13","1.13","0.97","10.24"
"03/11/2019","04:50","05.8","275","06.8","11.5","N/A","980.2","4.06","1.16","1.16","0.97","10.24"
"03/11/2019","04:55","04.4","276","05.1","11.5","N/A","980.3","4.04","1.03","1.03","0.97","10.24"
"03/11/2019","05:00","02.9","268","03.3","11.6","N/A","980.2","3.96","1.21","1.22","1.07","17.07"
"03/11/2019","05:05","04.7","252","05.2","11.5","N/A","980.2","3.93","0.63","1.05","1.07","17.07"
"03/11/2019","05:10","04.7","248","05.5","11.6","N/A","980.3","3.89","1.05","1.05","1.07","17.07"
"03/11/2019","05:15","04.8","242","05.7","11.6","N/A","980.5","3.81","1.03","1.11","1.00","15.06"
"03/11/2019","05:20","05.6","241","06.5","11.6","N/A","980.4","3.76","1.11","1.11","1.00","15.06"
"03/11/2019","05:25","05.8","241","07.7","11.6","N/A","980.5","3.67","1.08","1.16","1.00","15.06"
"03/11/2019","05:30","05.8","251","06.3","11.6","N/A","980.5","3.64","0.92","0.95","0.99","17.07"
"03/11/2019","05:35","06.6","250","07.4","11.6","N/A","980.4","3.55","0.87","1.02","0.99","17.07"
"03/11/2019","05:40","06.6","255","07.8","11.6","N/A","980.4","3.49","0.84","0.84","0.99","17.07"
"03/11/2019","05:45","07.4","254","08.0","11.6","N/A","980.5","3.44","0.73","0.84","0.93","15.06"
"03/11/2019","05:50","08.4","267","09.6","11.6","N/A","980.7","3.39","0.93","0.93","0.93","15.06"
"03/11/2019","05:55","07.9","275","08.5","11.6","N/A","980.7","3.28","0.98","0.99","0.93","15.06"
"03/11/2019","06:00","07.0","355","07.8","11.2","N/A","980.7","3.25","1.03","1.03","0.94","15.06"
"03/11/2019","06:05","05.6","357","06.0","10.2","N/A","980.7","3.16","0.93","0.93","0.94","15.06"
"03/11/2019","06:10","03.7","355","04.5","10.2","N/A","980.9","3.06","1.01","1.04","0.94","15.06"
"03/11/2019","06:15","03.4","002","04.1","10.2","N/A","980.9","3.03","0.85","0.85","0.90","15.06"
"03/11/2019","06:20","02.5","010","03.1","10.0","N/A","980.8","2.97","1.19","1.20","0.90","15.06"
"03/11/2019","06:25","03.2","011","03.8","10.0","N/A","980.8","2.88","0.87","1.24","0.90","15.06"
"03/11/2019","06:30","01.8","350","03.0","09.9","N/A","980.8","2.83","0.90","1.00","0.89","12.19"
"03/11/2019","06:35","01.1","020","01.9","10.0","N/A","981.0","2.80","0.93","0.94","0.89","12.19"
"03/11/2019","06:40","00.1","322","00.8","09.9","N/A","981.2","2.74","0.52","0.84","0.89","12.19"
"03/11/2019","06:45","00.0","000","00.0","09.9","N/A","981.2","2.63","0.80","1.01","0.82","13.48"
"03/11/2019","06:50","00.0","000","00.1","10.0","N/A","981.0","2.60","0.69","0.70","0.82","13.48"
"03/11/2019","06:55","02.8","226","03.9","10.3","N/A","981.2","2.54","0.66","0.87","0.82","13.48"
"03/11/2019","07:00","05.2","252","05.9","10.6","N/A","981.3","2.47","0.82","0.82","0.80","13.48"
