"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH","AWVHT","MWVHT","WVHT","APD"
"08/11/2019","00:00","05.4","007","06.4","08.7","N/A","998.4","2.47","0.69","0.69","0.60","17.07"
"08/11/2019","00:05","04.7","019","05.3","08.7","N/A","998.5","2.40","0.67","0.81","0.60","17.07"
"08/11/2019","00:10","04.6","011","05.3","08.5","N/A","998.5","2.38","0.61","0.61","0.60","17.07"
"08/11/2019","00:15","06.7","008","07.1","08.3","N/A","998.5","2.32","0.40","0.62","0.60","13.48"
"08/11/2019","00:20","05.7","020","06.0","08.0","N/A","998.7","2.27","0.50","0.62","0.60","13.48"
"08/11/2019","00:25","05.2","021","05.7","08.1","N/A","998.9","2.24","0.62","0.76","0.60","13.48"
"08/11/2019","00:30","05.3","013","05.7","08.1","N/A","999.0","2.21","0.50","0.58","0.59","13.48"
"08/11/2019","00:35","05.9","021","06.4","07.9","N/A","998.9","2.17","0.71","0.71","0.59","13.48"
"08/11/2019","00:40","06.6","021","07.5","07.6","N/A","998.9","2.13","0.55","0.71","0.59","13.48"
"08/11/2019","00:45","05.7","023","06.3","07.4","N/A","998.9","2.11","0.58","0.78","0.55","17.07"
"08/11/2019","00:50","04.8","029","05.4","07.5","N/A","999.0","2.06","0.62","0.75","0.55","17.07"
"08/11/2019","00:55","04.6","042","05.1","07.6","N/A","998.9","2.00","0.64","0.73","0.55","17.07"
"08/11/2019","01:00","05.1","046","05.6","07.6","N/A","999.0","1.99","0.58","0.58","0.54","17.07"
"08/11/2019","01:05","05.0","044","05.4","07.6","N/A","999.0","1.96","0.68","0.68","0.54","17.07"
"08/11/2019","01:10","05.1","052","05.9","07.7","N/A","999.2","1.94","0.49","0.54","0.54","17.07"
"08/11/2019","01:15","05.6","026","06.3","07.6","N/A","999.2","1.92","0.56","0.56","0.52","15.06"
"08/11/2019","01:20","06.0","024","06.3","07.5","N/A","999.2","1.90","0.50","0.57","0.52","15.06"
"08/11/2019","01:25","05.8","048","06.4","07.4","N/A","999.2","1.89","0.54","0.57","0.52","15.06"
"08/11/2019","01:30","05.2","025","05.8","07.2","N/A","999.2","1.88","0.63","0.63","0.50","13.48"
"08/11/2019","01:35","06.0","019","06.5","07.1","N/A","999.2","1.87","0.56","0.56","0.50","13.48"
"08/11/2019","01:40","05.8","010","06.4","07.2","N/A","999.4","1.88","0.50","0.50","0.50","13.48"
"08/11/2019","01:45","05.5","020","05.9","07.3","N/A","999.4","1.85","0.45","0.53","0.53","13.48"
"08/11/2019","01:50","06.0","008","06.3","07.1","N/A","999.6","1.86","0.58","0.60","0.53","13.48"
"08/11/2019","01:55","06.0","018","06.5","06.9","N/A","999.6","1.86","0.59","0.60","0.53","13.48"
"08/11/2019","02:00","06.1","024","06.5","07.1","N/A","999.4","1.87","0.65","0.66","0.50","13.48"
"08/11/2019","02:05","07.1","014","08.1","07.2","N/A","999.4","1.88","0.55","0.61","0.50","13.48"
"08/11/2019","02:10","07.7","015","08.4","07.0","N/A","999.7","1.89","0.57","0.57","0.50","13.48"
"08/11/2019","02:15","08.4","009","09.3","06.8","N/A","999.4","1.89","0.39","0.61","0.47","15.06"
"08/11/2019","02:20","07.8","013","08.7","06.8","N/A","999.4","1.91","0.53","0.58","0.47","15.06"
"08/11/2019","02:25","07.5","016","08.1","06.8","N/A","999.9","1.91","0.55","0.55","0.47","15.06"
"08/11/2019","02:30","07.8","016","08.4","06.6","N/A","999.6","1.96","0.41","0.49","0.46","17.07"
"08/11/2019","02:35","06.9","023","07.8","06.7","N/A","999.9","1.95","0.51","0.60","0.46","17.07"
"08/11/2019","02:40","06.6","021","07.2","06.8","N/A","999.9","1.98","0.44","0.53","0.46","17.07"
"08/11/2019","02:45","07.2","031","07.6","06.7","N/A","999.8","2.00","0.43","0.51","0.46","12.19"
"08/11/2019","02:50","06.3","028","07.2","06.7","N/A","999.9","2.03","0.53","0.53","0.46","12.19"
"08/11/2019","02:55","05.5","030","06.0","07.1","N/A","999.8","2.07","0.54","0.54","0.46","12.19"
"08/11/2019","03:00","05.7","015","06.2","07.0","N/A","1000.1","2.07","0.45","0.56","0.48","13.48"
"08/11/2019","03:05","06.0","008","06.4","07.2","N/A","1000.3","2.11","0.55","0.56","0.48","13.48"
