"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH","AWVHT","MWVHT","WVHT","APD"
"06/11/2019","00:00","10.3","002","11.8","10.5","N/A","1005.8","2.33","0.50","0.60","0.54","15.06"
"06/11/2019","00:05","11.4","003","12.5","10.5","N/A","1005.8","2.34","0.53","0.66","0.54","15.06"
"06/11/2019","00:10","11.7","356","12.7","10.4","N/A","1005.8","2.36","0.24","0.73","0.54","15.06"
"06/11/2019","00:15","11.5","354","13.2","10.4","N/A","1005.9","2.35","0.28","0.28","0.49","15.06"
"06/11/2019","00:20","09.5","358","10.9","10.4","N/A","1005.9","2.34","0.38","0.44","0.49","15.06"
"06/11/2019","00:25","10.5","352","11.8","10.4","N/A","1006.1","2.35","0.54","0.54","0.49","15.06"
"06/11/2019","00:30","10.2","350","11.3","10.3","N/A","1006.1","2.37","0.58","0.58","0.49","15.06"
"06/11/2019","00:35","11.5","338","12.5","10.2","N/A","1006.1","2.38","0.50","0.50","0.49","15.06"
"06/11/2019","00:40","10.6","342","12.0","10.2","N/A","1006.1","2.39","0.30","0.49","0.49","15.06"
"06/11/2019","00:45","10.6","352","11.2","10.2","N/A","1006.3","2.41","0.59","0.64","0.52","13.48"
"06/11/2019","00:50","10.2","346","12.0","10.2","N/A","1006.3","2.40","0.56","0.56","0.52","13.48"
"06/11/2019","00:55","07.9","333","09.2","10.2","N/A","1006.3","2.42","0.48","0.68","0.52","13.48"
"06/11/2019","01:00","09.2","342","10.3","10.2","N/A","1006.3","2.42","0.77","0.78","0.54","15.06"
"06/11/2019","01:05","08.4","350","09.9","10.2","N/A","1006.1","2.45","0.56","0.57","0.54","15.06"
"06/11/2019","01:10","09.0","344","09.6","10.1","N/A","1006.1","2.45","0.47","0.56","0.54","15.06"
"06/11/2019","01:15","07.7","347","08.4","10.2","N/A","1006.0","2.48","0.42","0.42","0.55","15.06"
"06/11/2019","01:20","07.4","335","08.3","10.1","N/A","1006.2","2.51","0.36","0.46","0.55","15.06"
"06/11/2019","01:25","08.4","348","09.0","10.1","N/A","1006.2","2.50","0.41","0.53","0.55","15.06"
"06/11/2019","01:30","10.1","347","10.9","10.0","N/A","1006.0","2.54","0.41","0.43","0.56","15.06"
"06/11/2019","01:35","09.2","344","10.5","10.0","N/A","1006.2","2.56","0.57","0.57","0.56","15.06"
"06/11/2019","01:40","10.1","347","11.0","09.9","N/A","1006.3","2.56","0.64","0.64","0.56","15.06"
"06/11/2019","01:45","09.1","348","10.0","09.9","N/A","1006.0","2.61","0.53","0.53","0.53","15.06"
"06/11/2019","01:50","09.9","347","11.4","09.8","N/A","1006.2","2.61","0.60","0.60","0.53","15.06"
"06/11/2019","01:55","08.8","340","09.7","09.8","N/A","1006.2","2.62","0.33","0.39","0.53","15.06"
"06/11/2019","02:00","09.8","350","10.9","09.8","N/A","1006.2","2.66","0.54","0.54","0.49","15.06"
"06/11/2019","02:05","09.8","351","10.9","09.8","N/A","1006.2","2.67","0.47","0.47","0.49","15.06"
"06/11/2019","02:10","10.9","353","12.7","09.7","N/A","1006.3","2.69","0.41","0.42","0.49","15.06"
"06/11/2019","02:15","11.2","349","12.4","09.8","N/A","1006.3","2.72","0.37","0.57","0.48","13.48"
"06/11/2019","02:20","11.2","333","12.9","09.6","N/A","1006.3","2.74","0.36","0.45","0.48","13.48"
"06/11/2019","02:25","13.4","339","15.3","09.6","N/A","1006.3","2.77","0.41","0.41","0.48","13.48"
"06/11/2019","02:30","13.3","343","15.6","09.5","N/A","1006.3","2.81","0.58","0.59","0.44","13.48"
"06/11/2019","02:35","13.8","343","14.8","09.2","N/A","1006.5","2.82","0.45","0.56","0.44","13.48"
"06/11/2019","02:40","09.1","345","10.7","09.3","N/A","1006.7","2.84","0.69","0.69","0.44","13.48"
"06/11/2019","02:45","11.1","348","12.6","09.1","N/A","1006.7","2.87","0.71","0.71","0.55","15.06"
"06/11/2019","02:50","10.0","342","11.4","09.1","N/A","1006.8","2.91","0.66","0.67","0.55","15.06"
"06/11/2019","02:55","10.4","345","11.9","09.0","N/A","1006.8","2.91","0.57","0.57","0.55","15.06"
"06/11/2019","03:00","10.6","345","11.6","08.9","N/A","1006.7","2.96","0.34","0.47","0.51","13.48"
"06/11/2019","03:05","12.9","344","14.2","08.7","N/A","1006.5","2.99","0.36","0.42","0.51","13.48"
"06/11/2019","03:10","13.3","338","14.7","08.6","N/A","1006.7","3.02","0.45","0.46","0.51","13.48"
